domain,label,window,pearson_r,spearman_rho,ci_low,ci_high,n_pairs
individual_qb,Individual QB,1,0.43281354860508175,0.42104951353108044,0.3276819436437864,0.515683938100347,463
individual_qb,Individual QB,2,0.44560913270383745,0.43270789176569074,0.3285695766268729,0.534607268953243,344
individual_qb,Individual QB,5,0.43403235917088695,0.46012834463087865,0.2616819103034976,0.5598415720589816,162
team_qb,Team QB,1,0.4249496215733136,0.41777461035990526,0.33195973146822694,0.49551676633289926,608
team_qb,Team QB,2,0.4623658264935249,0.4570880742471053,0.36538470875726325,0.5334670670998775,576
team_qb,Team QB,5,0.40165221544757007,0.3896378673518548,0.2896635823861766,0.4842848527003017,480
offense,Offense,1,0.4255817431773564,0.41976328154932574,0.3268230833582233,0.5040721166560757,608
offense,Offense,2,0.4512838373274388,0.4453898224198127,0.3460374746922395,0.5307551708382368,576
offense,Offense,5,0.389576959221207,0.37770671747707235,0.26269821486096795,0.4794175417063674,480
defense,Defense,1,0.270042013631345,0.25988713475445696,0.19747250736374578,0.3358418538940003,608
defense,Defense,2,0.25849652384107474,0.24178584884334264,0.17698609333671236,0.33200202371723087,576
defense,Defense,5,0.13300359704634837,0.13260647832672884,0.031514725437463156,0.22467745064848657,480
record,Record,1,0.35048548978204885,0.34623382074596765,0.2669971437451827,0.4214492873346978,608
record,Record,2,0.3856132626885042,0.37549311065070134,0.29824733442340545,0.4535945239777007,576
record,Record,5,0.3174914326578248,0.31312606439610163,0.18094117813034138,0.41665361255739436,480
