season,player_id,player_name,qb_epa,dropbacks,metric,qualifying_threshold
2006,00-0023436,A.Smith,-32.68207170804284,476.0,-0.06865981451269504,224
2006,00-0023504,A.Walter,-99.8274239043698,321.0,-0.3109888595151707,224
2006,00-0005106,B.Favre,-2.528547006033301,632.0,-0.004000865515875476,224
2006,00-0024408,B.Gradkowski,-84.33912212060324,351.0,-0.24028239920399783,224
2006,00-0008442,B.Johnson,-74.2900843170621,466.0,-0.1594207817962706,224
2006,00-0022924,B.Roethlisberger,10.505559029716279,511.0,0.02055882393290857,224
2006,00-0023502,C.Frye,-84.3730119341879,433.0,-0.1948568404946603,224
2006,00-0021429,C.Palmer,64.70673089237604,552.0,0.11722233857314501,224
2006,00-0019559,C.Pennington,25.64960087616981,508.0,0.05049134030742088,224
2006,00-0020531,D.Brees,126.77865684725042,573.0,0.2212542004315016,224
2006,00-0020608,D.Carr,-44.67244106241171,481.0,-0.09287409784285178,224
2006,00-0021231,D.Garrard,-18.141614301386305,261.0,-0.06950810077159504,224
2006,00-0007835,D.Huard,33.53153236305196,261.0,0.128473304072996,224
2006,00-0011022,D.McNabb,37.500212297500724,335.0,0.11194093223134545,224
2006,00-0022803,E.Manning,-7.428399213264842,545.0,-0.013630090299568517,224
2006,00-0004161,J.Delhomme,-1.8600203916434301,453.0,-0.004106005279566071,224
2006,00-0021141,J.Harrington,-40.928739720735,401.0,-0.10206668259534914,224
2006,00-0009311,J.Kitna,-34.134054239042705,658.0,-0.05187546236936581,224
2006,00-0022912,J.Losman,-24.468165507540608,475.0,-0.05151192738429602,224
2006,00-0013042,J.Plummer,-25.76883387131305,334.0,-0.07715219721950015,224
2006,00-0002110,M.Brunell,8.539394254229133,274.0,0.03116567246069027,224
2006,00-0019599,M.Bulger,56.95546321203132,631.0,0.09026222379085787,224
2006,00-0007091,M.Hasselbeck,-8.555570787606365,403.0,-0.021229704187608847,224
2006,00-0024225,M.Leinart,5.577651087234363,390.0,0.014301669454447085,224
2006,00-0020245,M.Vick,-66.99131294279385,434.0,-0.15435786392348813,224
2006,00-0010346,P.Manning,183.75996504656737,569.0,0.3229524869008214,224
2006,00-0022942,P.Rivers,86.8837394247073,488.0,0.17804044964079366,224
2006,00-0022121,R.Grossman,-26.711638917505027,500.0,-0.05342327783501005,224
2006,00-0011024,S.McNair,40.45854514456777,477.0,0.08481875292362216,224
2006,00-0019596,T.Brady,69.8193758430921,544.0,0.12834444088803695,224
2006,00-0021678,T.Romo,83.24581336166884,360.0,0.2312383704490801,224
2006,00-0024218,V.Young,-46.6309921985321,378.0,-0.1233624132236299,224
2007,00-0024300,B.Croyle,-33.16324000976091,239.0,-0.13875832640067326,224
2007,00-0005106,B.Favre,115.00618367370248,547.0,0.2102489646685603,224
2007,00-0006423,B.Griese,2.1668059148244154,273.0,0.007937018003019837,224
2007,00-0022924,B.Roethlisberger,79.50085832307612,450.0,0.17666857405128025,224
2007,00-0020565,C.Lemon,-16.28977296084289,330.0,-0.049362948366190575,224
2007,00-0021429,C.Palmer,61.079260400657965,590.0,0.10352417017060672,224
2007,00-0019559,C.Pennington,-0.20573888820963582,285.0,-0.0007218908358232836,224
2007,00-0023645,D.Anderson,44.58595427904291,536.0,0.08318275052060244,224
2007,00-0020531,D.Brees,53.58845148690625,669.0,0.08010231911346226,224
2007,00-0021231,D.Garrard,80.21076759916278,344.0,0.23317083604407784,224
2007,00-0007835,D.Huard,-28.16266532898595,370.0,-0.07611531169996202,224
2007,00-0011022,D.McNabb,34.88797220632144,517.0,0.06748157099868751,224
2007,00-0022803,E.Manning,-50.861054158389564,554.0,-0.0918069569646021,224
2007,00-0023460,J.Campbell,19.113843693993363,436.0,0.04383909104126918,224
2007,00-0024226,J.Cutler,55.88605408148297,492.0,0.1135895408160223,224
2007,00-0005755,J.Garcia,48.595388757233735,342.0,0.1420917799919115,224
2007,00-0021141,J.Harrington,-38.032681073555416,380.0,-0.10008600282514583,224
2007,00-0009311,J.Kitna,-23.612491184083588,611.0,-0.038645648419122075,224
2007,00-0022164,K.Boller,-32.600077220010824,295.0,-0.11050873633901974,224
2007,00-0024264,K.Clemens,-49.93636055382089,274.0,-0.182249491072339,224
2007,00-0017200,K.Warner,48.08101627230331,468.0,0.10273721425705835,224
2007,00-0019599,M.Bulger,-48.429926426308185,414.0,-0.11698049861427098,224
2007,00-0007091,M.Hasselbeck,67.29126650109868,593.0,0.11347599747234179,224
2007,00-0022787,M.Schaub,8.834406412511386,301.0,0.02935018741698135,224
2007,00-0010346,P.Manning,154.48747470370648,536.0,0.2882229005666166,224
2007,00-0022942,P.Rivers,30.640627636919266,482.0,0.06356976688157524,224
2007,00-0022121,R.Grossman,-49.56882075887825,246.0,-0.20149927137755388,224
2007,00-0020480,S.Rosenfels,31.8461041666924,246.0,0.12945570799468456,224
2007,00-0019596,T.Brady,250.02815796770972,599.0,0.4174092787440897,224
2007,00-0004293,T.Dilfer,-89.31174303679747,243.0,-0.36753803718846695,224
2007,00-0025479,T.Edwards,-40.79327213578348,279.0,-0.1462124449311236,224
2007,00-0024279,T.Jackson,-6.7596246362575645,306.0,-0.02209027658907701,224
2007,00-0021678,T.Romo,138.23330696049226,545.0,0.2536390953403528,224
2007,00-0024218,V.Young,-13.0779674573065,406.0,-0.03221174250568103,224
2008,00-0023459,A.Rodgers,81.16819554876608,567.0,0.1431537840366245,224
2008,00-0005106,B.Favre,18.09531607525801,553.0,0.03272209055200363,224
2008,00-0022924,B.Roethlisberger,-6.815224726376066,514.0,-0.013259192074661606,224
2008,00-0019559,C.Pennington,90.13042995816433,498.0,0.1809847991127798,224
2008,00-0023645,D.Anderson,-22.910199128233238,300.0,-0.07636733042744413,224
2008,00-0020531,D.Brees,161.53776848403987,643.0,0.2512251453873093,224
2008,00-0021231,D.Garrard,15.405098459047096,576.0,0.02674496260251232,224
2008,00-0011022,D.McNabb,61.485442667314395,590.0,0.10421261469036339,224
2008,00-0023578,D.Orlovsky,-15.14553126831481,270.0,-0.05609456025301782,224
2008,00-0022803,E.Manning,46.339101410567196,507.0,0.09139862211157238,224
2008,00-0005589,G.Frerotte,-31.626265200156347,329.0,-0.09612846565397065,224
2008,00-0023460,J.Campbell,-1.8116601627115192,543.0,-0.0033363907232256337,224
2008,00-0024226,J.Cutler,128.84106089066793,624.0,0.20647605911966016,224
2008,00-0004161,J.Delhomme,37.906855608269304,433.0,0.0875447011738321,224
2008,00-0026158,J.Flacco,-5.23080746059165,461.0,-0.011346653927530693,224
2008,00-0005755,J.Garcia,41.70959103442114,399.0,0.1045353158757422,224
2008,00-0021296,J.O'Sullivan,-54.32914762415347,252.0,-0.21559185565140265,224
2008,00-0025388,J.Russell,-58.724050381997955,397.0,-0.14791952237279082,224
2008,00-0003292,K.Collins,29.38367987014697,425.0,0.06913807028269875,224
2008,00-0023541,K.Orton,-21.349854157714876,492.0,-0.04339401251568064,224
2008,00-0017200,K.Warner,112.03868397829832,625.0,0.1792618943652773,224
2008,00-0019599,M.Bulger,-81.07642850714596,480.0,-0.1689092260565541,224
2008,00-0023662,M.Cassel,78.92308778942518,561.0,0.14068286593480425,224
2008,00-0007091,M.Hasselbeck,-36.83908779528973,229.0,-0.16086937901873244,224
2008,00-0026143,M.Ryan,82.47247084706748,450.0,0.18327215743792774,224
2008,00-0022787,M.Schaub,37.173528454164206,399.0,0.09316673798036142,224
